timestamp,kwh,building,month,source_file
2024-01-01 00:00:00,23.95,Admin,2024-01,admin_jan.csv
2024-01-01 01:00:00,22.35,Admin,2024-01,admin_jan.csv
2024-01-01 02:00:00,50.18,Admin,2024-01,admin_jan.csv
2024-01-01 03:00:00,37.99,Admin,2024-01,admin_jan.csv
2024-01-01 04:00:00,25.19,Admin,2024-01,admin_jan.csv
2024-01-01 05:00:00,78.83,Admin,2024-01,admin_jan.csv
2024-01-01 06:00:00,63.93,Admin,2024-01,admin_jan.csv
2024-01-01 07:00:00,65.79,Admin,2024-01,admin_jan.csv
2024-01-01 08:00:00,59.49,Admin,2024-01,admin_jan.csv
2024-01-01 09:00:00,68.87,Admin,2024-01,admin_jan.csv
2024-01-01 10:00:00,20.25,Admin,2024-01,admin_jan.csv
2024-01-01 11:00:00,64.77,Admin,2024-01,admin_jan.csv
2024-01-01 12:00:00,63.75,Admin,2024-01,admin_jan.csv
2024-01-01 13:00:00,49.02,Admin,2024-01,admin_jan.csv
2024-01-01 14:00:00,62.05,Admin,2024-01,admin_jan.csv
2024-01-01 15:00:00,72.58,Admin,2024-01,admin_jan.csv
2024-01-01 16:00:00,53.75,Admin,2024-01,admin_jan.csv
2024-01-01 17:00:00,49.7,Admin,2024-01,admin_jan.csv
2024-01-01 18:00:00,44.22,Admin,2024-01,admin_jan.csv
2024-01-01 19:00:00,55.38,Admin,2024-01,admin_jan.csv
2024-01-01 20:00:00,68.29,Admin,2024-01,admin_jan.csv
2024-01-01 21:00:00,56.75,Admin,2024-01,admin_jan.csv
2024-01-01 22:00:00,23.36,Admin,2024-01,admin_jan.csv
2024-01-01 23:00:00,21.62,Admin,2024-01,admin_jan.csv
2024-01-02 00:00:00,33.67,Admin,2024-01,admin_jan.csv
2024-01-02 01:00:00,31.17,Admin,2024-01,admin_jan.csv
2024-01-02 02:00:00,64.5,Admin,2024-01,admin_jan.csv
2024-01-02 03:00:00,64.28,Admin,2024-01,admin_jan.csv
2024-01-02 04:00:00,68.89,Admin,2024-01,admin_jan.csv
2024-01-02 05:00:00,69.79,Admin,2024-01,admin_jan.csv
2024-01-02 06:00:00,20.27,Admin,2024-01,admin_jan.csv
2024-01-02 07:00:00,66.03,Admin,2024-01,admin_jan.csv
2024-01-02 08:00:00,22.44,Admin,2024-01,admin_jan.csv
2024-01-02 09:00:00,50.07,Admin,2024-01,admin_jan.csv
2024-01-02 10:00:00,27.41,Admin,2024-01,admin_jan.csv
2024-01-02 11:00:00,57.02,Admin,2024-01,admin_jan.csv
2024-01-02 12:00:00,47.43,Admin,2024-01,admin_jan.csv
2024-01-02 13:00:00,45.37,Admin,2024-01,admin_jan.csv
2024-01-02 14:00:00,75.73,Admin,2024-01,admin_jan.csv
2024-01-02 15:00:00,39.93,Admin,2024-01,admin_jan.csv
2024-01-02 16:00:00,38.72,Admin,2024-01,admin_jan.csv
2024-01-02 17:00:00,46.29,Admin,2024-01,admin_jan.csv
2024-01-02 18:00:00,65.91,Admin,2024-01,admin_jan.csv
2024-01-02 19:00:00,61.09,Admin,2024-01,admin_jan.csv
2024-01-02 20:00:00,41.73,Admin,2024-01,admin_jan.csv
2024-01-02 21:00:00,65.65,Admin,2024-01,admin_jan.csv
2024-01-02 22:00:00,75.37,Admin,2024-01,admin_jan.csv
2024-01-02 23:00:00,23.19,Admin,2024-01,admin_jan.csv
2024-01-03 00:00:00,34.22,Admin,2024-01,admin_jan.csv
2024-01-03 01:00:00,31.18,Admin,2024-01,admin_jan.csv
2024-01-03 02:00:00,74.17,Admin,2024-01,admin_jan.csv
2024-01-03 03:00:00,31.6,Admin,2024-01,admin_jan.csv
2024-01-03 04:00:00,59.87,Admin,2024-01,admin_jan.csv
2024-01-03 05:00:00,72.64,Admin,2024-01,admin_jan.csv
2024-01-03 06:00:00,22.72,Admin,2024-01,admin_jan.csv
2024-01-03 07:00:00,54.91,Admin,2024-01,admin_jan.csv
2024-01-03 08:00:00,63.33,Admin,2024-01,admin_jan.csv
2024-01-03 09:00:00,26.56,Admin,2024-01,admin_jan.csv
2024-01-03 10:00:00,65.62,Admin,2024-01,admin_jan.csv
2024-01-03 11:00:00,21.04,Admin,2024-01,admin_jan.csv
2024-01-03 12:00:00,44.99,Admin,2024-01,admin_jan.csv
2024-01-03 13:00:00,61.39,Admin,2024-01,admin_jan.csv
2024-01-03 14:00:00,52.98,Admin,2024-01,admin_jan.csv
2024-01-03 15:00:00,51.79,Admin,2024-01,admin_jan.csv
2024-01-03 16:00:00,54.37,Admin,2024-01,admin_jan.csv
2024-01-03 17:00:00,65.33,Admin,2024-01,admin_jan.csv
2024-01-03 18:00:00,69.48,Admin,2024-01,admin_jan.csv
2024-01-03 19:00:00,39.22,Admin,2024-01,admin_jan.csv
2024-01-03 20:00:00,65.4,Admin,2024-01,admin_jan.csv
2024-01-03 21:00:00,34.67,Admin,2024-01,admin_jan.csv
2024-01-03 22:00:00,51.41,Admin,2024-01,admin_jan.csv
2024-01-03 23:00:00,40.47,Admin,2024-01,admin_jan.csv
2024-01-04 00:00:00,20.17,Admin,2024-01,admin_jan.csv
2024-01-04 01:00:00,64.35,Admin,2024-01,admin_jan.csv
2024-01-04 02:00:00,68.29,Admin,2024-01,admin_jan.csv
2024-01-04 03:00:00,35.07,Admin,2024-01,admin_jan.csv
2024-01-04 04:00:00,55.85,Admin,2024-01,admin_jan.csv
2024-01-04 05:00:00,42.53,Admin,2024-01,admin_jan.csv
2024-01-04 06:00:00,46.54,Admin,2024-01,admin_jan.csv
2024-01-04 07:00:00,63.33,Admin,2024-01,admin_jan.csv
2024-01-04 08:00:00,69.21,Admin,2024-01,admin_jan.csv
2024-01-04 09:00:00,53.78,Admin,2024-01,admin_jan.csv
2024-01-04 10:00:00,78.74,Admin,2024-01,admin_jan.csv
2024-01-04 11:00:00,73.44,Admin,2024-01,admin_jan.csv
2024-01-04 12:00:00,31.22,Admin,2024-01,admin_jan.csv
2024-01-04 13:00:00,39.3,Admin,2024-01,admin_jan.csv
2024-01-04 14:00:00,51.19,Admin,2024-01,admin_jan.csv
2024-01-04 15:00:00,61.55,Admin,2024-01,admin_jan.csv
2024-01-04 16:00:00,24.83,Admin,2024-01,admin_jan.csv
2024-01-04 17:00:00,24.66,Admin,2024-01,admin_jan.csv
2024-01-04 18:00:00,34.71,Admin,2024-01,admin_jan.csv
2024-01-04 19:00:00,71.32,Admin,2024-01,admin_jan.csv
2024-01-04 20:00:00,54.73,Admin,2024-01,admin_jan.csv
2024-01-04 21:00:00,53.97,Admin,2024-01,admin_jan.csv
2024-01-04 22:00:00,34.52,Admin,2024-01,admin_jan.csv
2024-01-04 23:00:00,48.59,Admin,2024-01,admin_jan.csv
2024-01-05 00:00:00,50.51,Admin,2024-01,admin_jan.csv
2024-01-05 01:00:00,29.44,Admin,2024-01,admin_jan.csv
2024-01-05 02:00:00,32.8,Admin,2024-01,admin_jan.csv
2024-01-05 03:00:00,33.64,Admin,2024-01,admin_jan.csv
2024-01-05 04:00:00,36.05,Admin,2024-01,admin_jan.csv
2024-01-05 05:00:00,32.04,Admin,2024-01,admin_jan.csv
2024-01-05 06:00:00,35.38,Admin,2024-01,admin_jan.csv
2024-01-05 07:00:00,79.86,Admin,2024-01,admin_jan.csv
2024-01-05 08:00:00,51.33,Admin,2024-01,admin_jan.csv
2024-01-05 09:00:00,58.55,Admin,2024-01,admin_jan.csv
2024-01-05 10:00:00,63.07,Admin,2024-01,admin_jan.csv
2024-01-05 11:00:00,52.85,Admin,2024-01,admin_jan.csv
2024-01-05 12:00:00,44.5,Admin,2024-01,admin_jan.csv
2024-01-05 13:00:00,65.6,Admin,2024-01,admin_jan.csv
2024-01-05 14:00:00,77.39,Admin,2024-01,admin_jan.csv
2024-01-05 15:00:00,29.36,Admin,2024-01,admin_jan.csv
2024-01-05 16:00:00,37.08,Admin,2024-01,admin_jan.csv
2024-01-05 17:00:00,60.08,Admin,2024-01,admin_jan.csv
2024-01-05 18:00:00,44.78,Admin,2024-01,admin_jan.csv
2024-01-05 19:00:00,55.44,Admin,2024-01,admin_jan.csv
2024-01-05 20:00:00,78.17,Admin,2024-01,admin_jan.csv
2024-01-05 21:00:00,32.45,Admin,2024-01,admin_jan.csv
2024-01-05 22:00:00,43.96,Admin,2024-01,admin_jan.csv
2024-01-05 23:00:00,69.44,Admin,2024-01,admin_jan.csv
2024-01-06 00:00:00,23.47,Admin,2024-01,admin_jan.csv
2024-01-06 01:00:00,76.01,Admin,2024-01,admin_jan.csv
2024-01-06 02:00:00,59.04,Admin,2024-01,admin_jan.csv
2024-01-06 03:00:00,73.52,Admin,2024-01,admin_jan.csv
2024-01-06 04:00:00,21.23,Admin,2024-01,admin_jan.csv
2024-01-06 05:00:00,21.8,Admin,2024-01,admin_jan.csv
2024-01-06 06:00:00,79.53,Admin,2024-01,admin_jan.csv
2024-01-06 07:00:00,44.94,Admin,2024-01,admin_jan.csv
2024-01-06 08:00:00,29.17,Admin,2024-01,admin_jan.csv
2024-01-06 09:00:00,74.18,Admin,2024-01,admin_jan.csv
2024-01-06 10:00:00,42.4,Admin,2024-01,admin_jan.csv
